#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:01Z,2.701350675337669,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:11Z,2.1494626343414147,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:21Z,2.751375687843922,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:31Z,2.2982762927804146,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:41Z,2.75,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:51Z,2.4762381190595297,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:01Z,2.973513243378311,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:11Z,2.3005751437859465,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:21Z,2.6506626656664167,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:31Z,2.3505876469117277,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:41Z,3.125,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:51Z,2.0724094881398254,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:01Z,3.204807210816224,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:11Z,2.1234074444166873,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:21Z,3.125,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:31Z,2.250562640660165,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:41Z,3.251625812906453,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:51Z,2.0739630184907547,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:01Z,3.275,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:11Z,2.024493876530867,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:21Z,2.825,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:31Z,2.2011005502751377,usage_user,cpu,cpu-total,tahoecity.prod
,,1,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:41Z,2.948525737131434,usage_user,cpu,cpu-total,tahoecity.prod

#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:00Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:10Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:20Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:30Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:40Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:50Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:00Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:10Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:20Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:30Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:40Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:50Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:00Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:10Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:20Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:30Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:40Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:50Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:00Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:10Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:20Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:30Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:40Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:50Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:00Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:10Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:20Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:30Z,0,usage_nice,cpu,cpu0,bigsur.prod
,,2,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:40Z,0,usage_nice,cpu,cpu0,bigsur.prod

#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:17:57Z,18.181818181818183,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:07Z,19.8,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:16Z,20.12012012012012,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:27Z,15.984015984015985,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:37Z,13.2,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:46Z,13.513513513513514,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:56Z,11.4,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:06Z,15,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:16Z,11.4,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:27Z,12.887112887112886,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:36Z,11,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:47Z,10.8,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:57Z,14.7,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:06Z,16.9,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:16Z,14,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:27Z,13.013013013013014,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:37Z,12.487512487512488,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:46Z,14.6,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:57Z,15.015015015015015,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:07Z,14.071856287425149,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:17Z,16.516516516516518,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:27Z,14.914914914914915,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:37Z,14.885114885114884,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:47Z,15,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:57Z,13.5,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:07Z,13.413413413413414,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:17Z,16.083916083916083,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:27Z,15.115115115115115,usage_system,cpu,cpu2,rsavage.prod
,,3,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:37Z,19.7,usage_system,cpu,cpu2,rsavage.prod

#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:01Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:11Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:21Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:31Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:41Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:51Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:01Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:11Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:21Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:31Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:41Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:51Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
